id,weather,temp,pressure,humidity,wind
1,Sunny,100,449,0.7568024953079282,4
2,Cloudy,0,895,0.5290826861200238,34
3,Sunny,100,202,0.8317747426285983,43
4,Cloudy,0,799,0.4201670368266409,13
5,Sunny,100,466,0.9613974918795568,17
6,Cloudy,0,991,0.956375928404503,27
7,Sunny,100,291,0.008851309290403876,22
8,Sunny,100,302,0.4121184852417566,9
9,Sunny,100,206,0.404037645323065,31
10,Sunny,100,280,0.9129452507276277,20
11,Sunny,100,407,0.9055783620066239,24
12,Sunny,100,316,0.9880316240928618,30
13,Cloudy,0,608,0.8317747426285983,43
14,Cloudy,0,700,0.9165215479156338,42
15,Sunny,100,89,0.7682546613236668,48
16,Sunny,100,38,0.6435381333569994,37
17,Cloudy,0,929,0.428182669496151,35
18,Cloudy,0,850,0.5440211108893699,10
19,Sunny,100,24,0.6636338842129675,29
20,Cloudy,0,777,0.9880316240928618,30
21,Sunny,100,117,0.6636338842129675,29
22,Sunny,100,219,0.123573122745224,47
23,Cloudy,0,996,0.27941549819892586,6
24,Sunny,100,32,0.017701925105413577,44
25,Sunny,100,466,0.123573122745224,47
26,Cloudy,0,897,0.017701925105413577,44
27,Cloudy,0,671,0.9589242746631385,5
28,Cloudy,0,667,0.8462204041751706,23
29,Sunny,100,213,0.14987720966295234,19
30,Cloudy,0,991,0.5514266812416906,32
31,Sunny,100,175,0.9129452507276277,20
32,Cloudy,0,966,0.9537526527594719,49
33,Cloudy,0,685,0.5514266812416906,32
34,Cloudy,0,781,0.428182669496151,35
35,Cloudy,0,543,0.9589242746631385,5
36,Cloudy,0,933,0.9999118601072672,33
37,Sunny,100,436,0.27090578830786904,28
38,Sunny,100,200,0.9129452507276277,20
39,Sunny,100,160,0.9917788534431158,36
40,Cloudy,0,513,0.956375928404503,27
41,Cloudy,0,578,0.7625584504796028,26
42,Sunny,100,25,0.836655638536056,21
43,Cloudy,0,598,0.404037645323065,31
44,Cloudy,0,654,0.27090578830786904,28
45,Cloudy,0,567,0.404037645323065,31
46,Sunny,100,197,0.9017883476488092,46
47,Cloudy,0,729,0.008851309290403876,22
48,Sunny,100,360,0.6502878401571169,15
49,Sunny,100,57,0.5365729180004349,12
50,Sunny,100,156,0.5290826861200238,34
51,Cloudy,0,948,0.9637953862840878,39
52,Cloudy,0,857,0.7625584504796028,26
53,Cloudy,0,658,0.5290826861200238,34
54,Sunny,100,175,0.9017883476488092,46
55,Sunny,100,384,0.9092974268256817,2
56,Sunny,100,194,0.8462204041751706,23
57,Cloudy,0,622,0.123573122745224,47
58,Sunny,100,7,0.9092974268256817,2
59,Sunny,100,314,0.0,0
60,Cloudy,0,569,0.158622668804709,41
61,Cloudy,0,774,0.8414709848078965,1
62,Cloudy,0,535,0.2879033166650653,16
63,Sunny,100,216,0.8317747426285983,43
64,Cloudy,0,537,0.9906073556948704,14
65,Sunny,100,433,0.4121184852417566,9
66,Cloudy,0,925,0.9999118601072672,33
67,Cloudy,0,936,0.9537526527594719,49
68,Sunny,100,414,0.9055783620066239,24
69,Cloudy,0,915,0.956375928404503,27
70,Sunny,100,333,0.6502878401571169,15
71,Cloudy,0,995,0.7451131604793488,40
72,Sunny,100,208,0.9917788534431158,36
73,Cloudy,0,591,0.9537526527594719,49
74,Cloudy,0,772,0.6435381333569994,37
75,Sunny,100,268,0.9613974918795568,17
76,Sunny,100,191,0.017701925105413577,44
77,Sunny,100,106,0.27941549819892586,6
78,Cloudy,0,946,0.2879033166650653,16
79,Cloudy,0,871,0.6435381333569994,37
80,Sunny,100,98,0.123573122745224,47
81,Cloudy,0,925,0.9092974268256817,2
82,Cloudy,0,723,0.2963685787093853,38
83,Cloudy,0,746,0.2963685787093853,38
84,Sunny,100,327,0.7682546613236668,48
85,Cloudy,0,666,0.9055783620066239,24
86,Cloudy,0,593,0.6569865987187891,7
87,Cloudy,0,938,0.6435381333569994,37
88,Cloudy,0,766,0.1411200080598672,3
89,Sunny,100,342,0.008851309290403876,22
90,Cloudy,0,927,0.7682546613236668,48
91,Sunny,100,109,0.7625584504796028,26
92,Sunny,100,405,0.836655638536056,21
93,Sunny,100,369,0.9017883476488092,46
94,Sunny,100,86,0.27090578830786904,28
95,Cloudy,0,984,0.9055783620066239,24
96,Cloudy,0,537,0.9589242746631385,5
97,Sunny,100,41,0.404037645323065,31
98,Cloudy,0,765,0.017701925105413577,44
99,Cloudy,0,957,0.836655638536056,21
100,Sunny,100,332,0.9999902065507035,11
101,Sunny,100,496,0.956375928404503,27
102,Cloudy,0,642,0.9129452507276277,20
103,Cloudy,0,755,0.9017883476488092,46
